     T,      X,      Y
  7.70,  -0.49,   0.00 
  7.72,  -0.24,  -0.24 
  7.74,  -0.24,   0.00 
  7.76,  -0.24,   0.00 
  7.78,   0.00,  -0.24 
  7.81,  -0.24,   0.00 
  7.83,  -0.24,   0.00 
  7.85,  -0.24,  -0.24 
  7.87,  -0.24,   0.00 
  7.89,  -0.24,   0.24 
  7.91,  -0.24,   0.00 
  7.93,  -0.24,  -0.24 
  7.95,  -0.24,  -0.48 
  7.97,  -0.24,   0.00 
  8.00,  -0.24,   0.00 
  8.02,  -0.24,   0.00 
  8.04,  -0.24,  -0.24 
  8.06,  -0.24,   0.00 
  8.08,  -0.49,   0.00 
  8.10,  -0.49,   0.00 
  8.12,  -0.49,   0.00 
  8.14,  -0.49,   0.00 
  8.16,   0.00,  -0.24 
  8.19,   0.00,   0.00 
  8.21,  -0.24,   0.00 
  8.23,  -0.24,   0.00 
  8.25,  -0.49,   0.00 
  8.27,  -0.49,   0.00 
  8.29,  -0.48,   0.00 
  8.31,  -0.24,  -0.24 
  8.33,  -0.49,   0.00 
  8.35,  -0.49,   0.24 
  8.38,  -0.49,   0.24 
  8.40,  -0.24,   0.00 
  8.42,  -0.49,  -0.24 
  8.44,  -0.24,   0.00 
  8.46,  -0.73,   0.00 
  8.48,  -0.24,   0.00 
  8.50,  -0.49,   0.00 
  8.52,  -0.49,   0.00 
  8.54,  -0.24,   0.00 
  8.57,   0.00,   0.24 
  8.59,  -0.48,   0.00 
  8.61,  -0.49,   0.00 
  8.63,  -0.48,  -0.24 
  8.65,  -0.24,  -0.48 
  8.67,  -0.24,  -0.48 
  8.69,  -0.49,  -0.49 
  8.71,  -0.24,   0.00 
  8.73,  -0.49,  -0.24 
  8.76,  -0.24,   0.00 
  8.78,  -0.24,   0.00 
  8.80,  -0.24,   0.00 
  8.82,  -0.24,   0.00 
  8.84,  -0.24,   0.00 
  8.86,  -0.49,   0.00 
  8.88,  -0.24,  -0.24 
  8.90,   0.00,  -0.24 
  8.92,  -0.24,   0.00 
  8.95,  -0.24,   0.24 
  8.97,  -0.73,   0.00 
  8.99,  -0.49,   0.00 
  9.01,  -0.49,   0.00 
  9.03,  -0.24,   0.00 
  9.05,  -0.24,   0.00 
  9.07,  -0.24,   0.00 
  9.09,  -0.24,  -0.24 
  9.11,  -0.24,   0.00 
  9.14,  -0.24,  -0.24 
  9.16,  -0.24,  -0.24 
  9.18,  -0.24,  -0.24 
  9.20,  -0.49,   0.00 
  9.22,  -0.24,   0.00 
  9.24,  -0.24,  -0.49 
  9.26,   0.00,  -0.24 
  9.28,  -0.24,   0.00 
  9.31,  -0.24,  -0.24 
  9.33,  -0.24,  -0.24 
  9.35,  -0.24,  -0.24 
  9.37,  -0.24,  -0.24 
  9.39,  -0.24,   0.24 
  9.42,  -0.24,   0.00 
  9.44,  -0.24,   0.00 
  9.46,  -0.24,   0.00 
  9.48,  -0.48,  -0.24 
  9.50,  -0.24,   0.00 
  9.52,  -0.49,   0.00 
  9.54,  -0.49,   0.00 
  9.56,  -0.49,   0.00 
  9.59,  -0.24,  -0.24 
  9.61,  -0.49,   0.00 
  9.63,  -0.24,  -0.24 
  9.65,  -0.24,   0.00 
  9.67,  -0.24,   0.00 
  9.69,  -0.24,   0.00 
  9.71,  -0.48,   0.00 
  9.73,  -0.24,   0.00 
  9.76,  -0.24,   0.00 
  9.78,  -0.48,   0.00 
  9.80,  -0.24,  -0.24 
  9.83,  -0.24,   0.00 
  9.85,  -0.24,   0.00 
  9.87,  -0.48,  -0.24 
  9.89,  -0.24,   0.00 
  9.91,   0.00,   0.00 
  9.93,  -0.48,   0.24 
  9.96,  -0.24,   0.00 
  9.98,  -0.24,  -0.24 
 10.00,  -0.24,  -0.24 
 10.02,  -0.24,  -0.24 
 10.04,  -0.24,   0.24 
 10.06,  -0.24,   0.00 
 10.09,  -0.24,   0.00 
 10.11,  -0.49,   0.00 
 10.13,  -0.24,   0.00 
 10.15,  -0.24,   0.00 
 10.17,  -0.48,   0.00 
 10.19,  -0.24,  -0.24 
 10.21,  -0.24,  -0.24 
 10.24,  -0.24,   0.00 
 10.26,  -0.49,   0.00 
 10.28,  -0.24,   0.00 
 10.30,  -0.24,   0.00 
 10.32,   0.00,   0.00 
 10.34,  -0.24,   0.00 
 10.36,  -0.24,   0.00 
 10.38,  -0.49,   0.00 
 10.40,  -0.24,   0.00 
 10.43,  -0.24,  -0.24 
 10.45,  -0.49,  -0.24 
 10.47,  -0.24,   0.24 
 10.49,  -0.24,   0.00 
 10.51,  -0.24,   0.00 
 10.53,   0.00,   0.00 
 10.55,  -0.24,   0.00 
 10.58,  -0.24,  -0.24 
 10.60,  -0.24,   0.24 
 10.62,  -0.24,  -0.24 
 10.64,  -0.24,   0.00 
 10.66,  -0.48,   0.00 
 10.68,  -0.24,   0.00 
 10.71,  -0.49,  -0.24 
 10.73,  -0.24,   0.00 
 10.75,  -0.49,  -0.24 
 10.77,  -0.24,   0.00 
 10.80,  -0.24,   0.00 
 10.82,  -0.24,   0.00 
 10.84,  -0.24,   0.00 
 10.86,  -0.24,   0.00 
 10.88,  -0.24,   0.00 
 10.91,   0.00,   0.24 
 10.93,  -0.24,  -0.24 
 10.95,  -0.24,   0.00 
 10.97,  -0.49,   0.00 
 10.99,  -0.24,   0.00 
